intersection,latitude,longitude,date,elements,vz_priority,borough
Bedford Ave & Glenwood Rd,40.6334286016,-73.9529755419,2022-03-15,Leading Pedestrian Interval,no,Brooklyn
Bedford Ave & Gravesend Neck Rd,40.598404879,-73.946345625,2022-03-15,Leading Pedestrian Interval,no,Brooklyn
Bedford Ave & Park Ave,40.6967849915,-73.9565804104,2022-03-15,Leading Pedestrian Interval,no,Brooklyn
Bedford Ave & Shore Pkwy,40.584707088,-73.9437572667,2022-03-15,Leading Pedestrian Interval,no,Brooklyn
Bedford Ave & Voorhies Ave,40.5867850938,-73.9441479528,2022-03-15,Leading Pedestrian Interval,no,Brooklyn
E 93rd St & E New York Ave,40.66433005531519,-73.92907994516617,2022-03-15,Traffic Signal,no,Brooklyn
Avenue M & Flatbush Ave,40.620850022240006,-73.93497988299232,2022-03-17,Traffic Signal,no,Brooklyn
E 12th St & Avenue B,40.7281062547,-73.9789979879,2022-03-18,Leading Pedestrian Interval,no,Manhattan
Greenwich St & N Moore St,40.7201149853,-74.0101840866,2022-03-18,Leading Pedestrian Interval,no,Manhattan
45th Ave & Union St,40.7529361899,-73.8197794104,2022-03-19,Leading Pedestrian Interval,no,Queens
Van Duzer St & Wright St,40.6282608951,-74.0803806738,2022-03-19,Leading Pedestrian Interval,no,Staten Island
Hone Ave & Rhinelander Ave,40.850779371,-73.8561919941,2022-03-23,Leading Pedestrian Interval,no,Bronx
Amity St & Clinton St,40.6889155872,-73.995002289,2022-03-23,Leading Pedestrian Interval,no,Brooklyn
Baltic St & Clinton St,40.6867527482,-73.9960409021,2022-03-23,Leading Pedestrian Interval,no,Brooklyn
Clinton St & Congress St,40.6882266633,-73.995334075,2022-03-23,Leading Pedestrian Interval,no,Brooklyn
Clinton St & Kane St,40.6860967579,-73.9963582432,2022-03-23,Leading Pedestrian Interval,no,Brooklyn
Clinton St & Pacific St,40.6895825513,-73.9946777085,2022-03-23,Leading Pedestrian Interval,no,Brooklyn
Clinton St & Warren St,40.6873977579,-73.9957307681,2022-03-23,Leading Pedestrian Interval,no,Brooklyn
103rd Ave & 124th St,40.689133074,-73.8208533272,2022-03-23,Leading Pedestrian Interval,no,Queens
Beach 101st St & Shore Front Pkwy,40.5822839088,-73.8209311344,2022-03-23,Leading Pedestrian Interval,no,Queens
Beach 102nd St & Shore Front Pkwy,40.5820493286,-73.8218785863,2022-03-23,Leading Pedestrian Interval,no,Queens
Beach 105th St & Shore Front Pkwy,40.5811841562,-73.825088533,2022-03-23,Leading Pedestrian Interval,no,Queens
Beach 108th St & Shore Front Pkwy,40.5801742463,-73.8288531655,2022-03-23,Leading Pedestrian Interval,no,Queens
Beach 91st St & Shore Front Pkwy,40.5844560669,-73.8129544218,2022-03-23,Leading Pedestrian Interval,no,Queens
Beach 94th St & Shore Front Pkwy,40.5838697336,-73.8153033872,2022-03-23,Leading Pedestrian Interval,no,Queens
64th St & Cooper Ave,40.6979337402,-73.892000901,2022-03-26,Leading Pedestrian Interval,no,Queens
67th St & Cooper Ave,40.6999644137,-73.8858413966,2022-03-26,Leading Pedestrian Interval,no,Queens
69th Pl & Cooper Ave,40.7012804419,-73.8816772139,2022-03-26,Leading Pedestrian Interval,no,Queens
70th St & Cooper Ave,40.7017105775,-73.8809082561,2022-03-26,Leading Pedestrian Interval,no,Queens
70th St & Myrtle Ave,40.7019302523,-73.8809980275,2022-03-26,Leading Pedestrian Interval,no,Queens
73rd Pl & Cooper Ave,40.7044395073,-73.876301237,2022-03-26,Leading Pedestrian Interval,no,Queens
74th St & Cooper Ave,40.70617667,-73.8760455375,2022-03-26,Leading Pedestrian Interval,no,Queens
78th St & Cooper Ave,40.7075548194,-73.8737742581,2022-03-26,Leading Pedestrian Interval,no,Queens
83rd St & Cooper Ave,40.7104013093,-73.8666197568,2022-03-26,Leading Pedestrian Interval,no,Queens
88th St & Cooper Ave,40.7107782101,-73.8650102627,2022-03-26,Leading Pedestrian Interval,no,Queens
Cooper Ave & Cypress Hills St,40.6988578235,-73.8881802343,2022-03-26,Leading Pedestrian Interval,no,Queens
Cooper Ave & Myrtle Ave,40.7019681595,-73.8804966475,2022-03-26,Leading Pedestrian Interval,no,Queens
Brandt Pl & Dr Martin Luther King Jr Blvd,40.8483122981,-73.9184353369,2022-03-28,Leading Pedestrian Interval,no,Bronx
Dr Martin Luther King Jr Blvd & Morton Pl,40.851040049852344,-73.91488988600433,2022-03-28,Traffic Signal,no,Bronx
W 180th St & Dr Martin Luther King Jr Blvd,40.8557280269,-73.9104120149,2022-03-28,Leading Pedestrian Interval,no,Bronx
61st St & Fort Hamilton Pkwy,40.6325844154,-74.0063049158,2022-03-28,Leading Pedestrian Interval,no,Brooklyn
66th St & Fort Hamilton Pkwy,40.6301138428,-74.0100046298,2022-03-28,Leading Pedestrian Interval,no,Brooklyn
67th St & Fort Hamilton Pkwy,40.6296471661,-74.0106998712,2022-03-28,Leading Pedestrian Interval,no,Brooklyn
68th St & Fort Hamilton Pkwy,40.6291612685,-74.011427523,2022-03-28,Leading Pedestrian Interval,no,Brooklyn
70th St & Fort Hamilton Pkwy,40.6282059309,-74.0128575814,2022-04-01,Leading Pedestrian Interval,no,Brooklyn
71st St & Fort Hamilton Pkwy,40.6277282556,-74.0135707934,2022-04-01,Leading Pedestrian Interval,no,Brooklyn
76th St & Fort Hamilton Pkwy,40.6252684282,-74.0172627672,2022-04-01,Leading Pedestrian Interval,no,Brooklyn
Bay Ridge Ave & Fort Hamilton Pkwy,40.6286836021,-74.0121407566,2022-04-01,Leading Pedestrian Interval,no,Brooklyn
Annadale Rd & Arden Ave,40.5444863315,-74.1764993061,2022-04-04,Leading Pedestrian Interval,no,Staten Island
E 27th St & Avenue K,40.624072785,-73.9492753158,2022-04-06,Leading Pedestrian Interval,no,Brooklyn
W 232nd St & Broadway,40.88016003876933,-73.90396994254736,2022-04-07,"Leading Pedestrian Interval, Traffic Signal",no,Bronx
49th St & Fort Hamilton Pkwy,40.6383733201,-73.9976579711,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
51st St & Fort Hamilton Pkwy,40.6374154099,-73.9990920259,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
52nd St & Fort Hamilton Pkwy,40.6369350757,-73.9998090391,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
53rd St & Fort Hamilton Pkwy,40.636454737,-74.0005260408,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
54th St & Fort Hamilton Pkwy,40.6359771387,-74.0012394292,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
55th St & Fort Hamilton Pkwy,40.6354995357,-74.0019600133,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
56th St & Fort Hamilton Pkwy,40.6350191836,-74.0026733811,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
57th St & Fort Hamilton Pkwy,40.6345388269,-74.0033903427,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
58th St & Fort Hamilton Pkwy,40.6340612106,-74.004107293,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
59th St & Fort Hamilton Pkwy,40.6335808451,-74.00482063,2022-04-08,Leading Pedestrian Interval,no,Brooklyn
E 96th St & Lexington Ave,40.7858663663,-73.9509287179,2022-04-08,Leading Pedestrian Interval,no,Manhattan
W 34th St & 5th Ave,40.7484375148,-73.9845603806,2022-04-08,Leading Pedestrian Interval,yes,Manhattan
W 34th St & 9th Ave,40.7533872698,-73.9963040337,2022-04-08,Leading Pedestrian Interval,no,Manhattan
74th St & Roosevelt Ave,40.746844831,-73.8914307892,2022-04-08,Leading Pedestrian Interval,no,Queens
E 37th St & Foster Ave,40.6390254631,-73.941531574,2022-04-12,Leading Pedestrian Interval,no,Brooklyn
101st Ave & Woodhaven Blvd,40.684239984,-73.8460948995,2022-04-13,Leading Pedestrian Interval,no,Queens
Central Ave & Foam Pl,40.6052859632,-73.75183883,2022-04-13,Leading Pedestrian Interval,no,Queens
Central Ave & Nameoke St,40.6066876413,-73.7501481523,2022-04-13,Leading Pedestrian Interval,no,Queens
Central Ave & Neilson St,40.607147558,-73.7495918076,2022-04-13,Leading Pedestrian Interval,no,Queens
Baltic St & Smith St,40.6848119684,-73.991761134,2022-04-14,Leading Pedestrian Interval,no,Brooklyn
Hugh J Grant Cir & Westchester Ave,40.8330029323,-73.8615425061,2022-04-15,Leading Pedestrian Interval,no,Bronx
175th St & 64th Ave,40.73799005278292,-73.79398990133497,2022-04-15,"Leading Pedestrian Interval, Traffic Signal",no,Queens
193rd St & Union Tpke,40.7301934572,-73.7775756851,2022-04-15,Leading Pedestrian Interval,no,Queens
12th St & 5th Ave,40.6673740644,-73.9878053402,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
13th St & 5th Ave,40.6667702657,-73.9883064979,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
14th St & 5th Ave,40.6661692086,-73.988807646,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
15th St & 5th Ave,40.6655654058,-73.9893123901,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
16th St & 5th Ave,40.6649643452,-73.9898135202,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
17th St & 5th Ave,40.6635893163,-73.9910897171,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
18th St & 5th Ave,40.6630294254,-73.9916737133,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
19th St & 5th Ave,40.6624695313,-73.9922540953,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
1st St & 5th Ave,40.673999236,-73.9822775936,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
